independent,unMember,capital_code,region_code,subregion_code,language_code,latitude,longitude,landlocked,area,population,borders_count,car_side_code,timezones_count,continents_code,startOfWeek_code
1,1,219,1,2,127,0.0,25.0,0,2344858.0,108407721,9,1,2,1,1
1,1,220,3,22,128,7.5,134.5,0,459.0,18092,0,1,1,3,1
1,1,221,1,5,5,25.0,17.0,0,1759540.0,6871287,6,1,1,1,2
0,0,222,5,12,129,18.25,-66.5,0,8870.0,3194034,0,1,1,6,1
1,1,223,2,20,130,60.0,100.0,0,17098242.0,144104080,14,1,9,8,1
1,1,224,5,8,10,-30.0,-71.0,0,756102.0,19116209,3,1,2,5,1
1,1,225,6,11,5,31.0,36.0,0,89342.0,10203140,5,1,1,7,2
0,0,226,5,10,7,32.33333333,-64.75,0,54.0,63903,0,2,1,6,1
1,1,227,1,15,131,-29.0,24.0,0,1221037.0,59308690,6,2,1,1,1
1,1,228,6,24,132,7.0,81.0,0,65610.0,21919000,1,2,1,7,1
1,1,229,5,12,7,17.05,-61.8,0,442.0,97928,0,2,1,6,1
1,1,230,1,1,133,8.0,38.0,1,1104300.0,114963583,6,1,1,1,1
1,1,231,2,18,134,65.0,-18.0,0,103000.0,366425,0,1,1,2,1
1,1,232,5,13,10,15.5,-90.25,0,108889.0,16858333,4,1,1,6,1
1,1,233,3,23,135,-8.0,178.0,0,26.0,11792,0,2,1,3,1
0,0,95,4,7,7,-53.0818,73.5042,0,412.0,0,0,1,1,4,1
1,1,234,1,2,8,1.0,7.0,0,964.0,219161,0,1,1,1,1
1,1,235,1,5,5,27.0,30.0,0,1002450.0,102334403,4,1,1,1,2
1,1,236,2,3,136,44.0,18.0,0,51209.0,3280815,3,1,1,2,1
0,0,237,2,18,137,49.25,-2.16666666,0,116.0,100800,0,2,1,2,1
1,1,238,2,9,138,49.75,6.16666666,1,2586.0,632275,3,1,1,2,1
1,1,239,5,8,7,5.0,-59.0,0,214969.0,786559,3,2,1,5,1
1,1,240,5,12,139,19.0,-72.41666666,0,27750.0,11402533,1,1,1,6,1
1,1,241,6,11,5,25.5,51.25,0,11586.0,2881060,1,1,1,7,2
0,0,242,2,18,61,78.0,20.0,0,61399.0,2562,0,1,1,2,1
1,1,243,6,16,140,13.0,105.0,0,181035.0,16718971,3,1,1,7,1
1,1,244,1,1,141,10.0,49.0,0,637657.0,15893219,3,1,1,1,1
1,1,245,1,1,29,1.0,38.0,0,580367.0,53771300,5,2,1,1,1
1,1,246,3,22,142,-0.53333333,166.91666666,0,21.0,10834,0,2,1,3,1
